index,created_at,text,like_count,retweet_count,reply_count,quote_count
0,2023-03-13T08:19:35.000Z,あ、誰かカレー作ってる,1,0,0,0
1,2023-03-10T11:45:51.000Z,RT @lumos_program: こんばんは～。横浜は最近急に暖かくなってきて、春って感じがしますね！Lumosで行う新歓企画の申し込みフォームを貼っておくので、参加しよっかな～という方は↓こちらからお申込みお願いします！！！https://t.co/6uvXSmDe0o,0,1,0,0
2,2023-03-08T14:52:01.000Z,RT @lumos_program: 横国に合格された皆さん、本当におめでとうございます！そしてお疲れさまでした！私たちは横国公認プログラミングサークルLumosです！新歓カレンダー、是非ご覧ください！#春から横国　#プログラミング初心者 　#春からynu https://t.…,0,3,0,0
3,2023-03-08T14:51:11.000Z,RT @acoster_ynu: 新入生の皆さん、合格おめでとうだぽ👋🏻\n\n“アコースティックスタイル”は、アコギなど様々な楽器を演奏する音楽サークル🎶🎶\n\nどんな方でも入部受付中！\n少しでも興味ある人はぜひフォローしてもらえると嬉しいぽ〜〜🦔\n\n#春から横国 #春からも横国,0,8,0,0
4,2023-03-08T14:50:34.000Z,RT @lumos_program: Lumosでは早期、前期合格者へ向けて交流会を実施します！🔥🔥🔥\n3/11(土) 3/16(木) の2日間、zoomで行う予定です😆🏃‍♂️\n時間は18:00〜19:00です！⏰\n早速新入生同士で交流したい方、是非ご参加ください！！！\n\nD…,0,1,0,0
5,2023-03-08T14:50:23.000Z,RT @lumos_program: LumosはLINEのオープンチャットも作っています！こちらのQRコードから友達追加よろしくお願いします！(^▽^)/#春から横国　#HelloLumos　#プログラミング https://t.co/j6oBKzihhF,0,1,0,0
6,2023-02-28T20:37:22.000Z,フォーマットするためにボタンを押したくない,1,0,0,0
7,2023-02-28T20:34:22.000Z,fixer,0,0,0,0
8,2023-02-28T04:55:36.000Z,あたたかい,0,0,0,0
9,2023-02-28T04:55:27.000Z,はるだ,0,0,0,0
10,2023-02-27T12:08:44.000Z,ヒャッハー!!!! https://t.co/BBf1Xx6gME,3,1,0,0
11,2023-02-07T04:10:52.000Z,RT @dominisikokura: あ、そうだ。横国1~3年生で本気でエンジニアになりたい人連絡頂ければ、何かしらアドバイスできることもあるかと思います。お気軽にどうぞー\n面識ない人でも人見知りしないので大丈夫です。,0,3,0,0
12,2023-01-25T15:23:34.000Z,2月中に北門付近のアパートから実家に戻るので、欲しい人いないかなぁ,0,0,0,0
13,2023-01-25T15:22:30.000Z,あと、ハンガーラックも譲りたい,1,0,1,0
14,2023-01-25T15:21:56.000Z,横国付近の住民でスタンディングデスク欲しい人いないかな、,2,0,1,0
15,2022-12-31T15:37:29.000Z,McDonald Romance\nみかん美味しそうだった,2,0,0,0
16,2022-12-21T20:01:39.000Z,初めて記事を投稿してしまった...\n[Nuxt3]環境変数の設定で躓いた話｜zennkaku https://t.co/YkPv2yaBJA #zenn,1,0,0,0
17,2022-12-17T11:46:12.000Z,雨音いい感じっすね。,1,0,0,0
18,2022-12-04T15:51:29.000Z,RT @lumos_program: お久しぶりです！\n学祭が終わってから1ヶ月以上が経過しました🏮\nLumosでは新たな取り組みを始めています！💡\n有志でプロジェクトを立ち上げ、それぞれが目標を決めて活動を行っています😆\n初学者プロジェクトもあるので、この機会に是非入会をお待…,0,1,0,0
19,2022-12-01T17:57:45.000Z,やるぞ。vue school。Nuxt3\nhttps://t.co/wx8xja4ZE7\n#vuejs courses via @VueSchool_io,2,0,0,0
20,2022-11-20T14:14:04.000Z,1人アドベントカレンダーやる人いるのか,2,0,0,0
21,2022-11-20T14:06:03.000Z,布団あったかい,2,0,0,0
22,2022-11-20T13:39:11.000Z,RT @konsento_gnu: 皆さん最低5人、5～10人は集めてください。それ以上はバックが付きます。\n20人集めて頂ければ幹部にもなれます。 https://t.co/Ki4vLnCuIg,0,480,0,0
23,2022-11-18T17:03:30.000Z,Lineとslack削除したい。\ndiscordだけで生きていきたい。,4,0,0,0
24,2022-11-06T14:55:19.000Z,@drugeroi 語呂がいいので何となく笑,0,0,0,0
25,2022-11-01T12:08:00.000Z,虚無虚無プリン,4,0,1,0
26,2022-10-19T15:30:14.000Z,にゃにゃにゃにゃーん,2,0,0,0
27,2022-10-12T06:28:52.000Z,いやっほい https://t.co/NfO97d8OyP,1,0,0,0
28,2022-10-12T06:23:52.000Z,Java Script Mill,1,0,0,0
29,2022-10-04T13:51:00.000Z,金木犀,2,0,0,0
30,2022-09-29T15:48:45.000Z,RT @medamagnu: 「えー！メガネ取るとこんなにかっこいいんだ〜」\nって言った友人☺️え https://t.co/h6DwxeL4ES,0,56,0,0
31,2022-09-29T15:48:30.000Z,空からモニター降ってこい,1,0,0,0
32,2022-09-28T14:25:25.000Z,やっぱ自分のやめます。予算10000もなかった,1,0,0,0
33,2022-09-27T10:05:02.000Z,@drugeroi 21インチです\n12 000円が僕の予算です涙,1,0,0,0
34,2022-09-27T10:03:20.000Z,脱線王選手権大会開きたい,1,0,0,0
35,2022-09-27T09:48:09.000Z,モニター買います。,5,0,2,0
36,2022-09-26T17:54:02.000Z,RT @JP_GHIBLI: こちらは仙台在住のスタッフからのお土産。\n某高専の先生の大好物なのだそうです。 https://t.co/hx6TCEjmDi,0,6559,0,0
37,2022-09-19T15:47:46.000Z,経済勢ロシア語組で、秋もうロシア語取らない人とかいるのかな。てかルール上いけるのか?,2,0,1,0
38,2022-09-18T15:06:10.000Z,いいなぁぁぁぁぁぁぁぁぁぁぁ https://t.co/K2opzlZ8je,1,0,0,0
39,2022-09-18T15:00:29.000Z,chromeの拡張機能「vimnium」がめっちゃ便利\n手がキーボード上から離れないし、ショートカットが増えるからブラウザ操作が早くなる\nvimniumの設定をいじってemacs風のkeybindにしてる人もいるらしい??,2,0,0,0
40,2022-09-17T03:14:48.000Z,notionのスマホアプリ良き\nブラウザ版はさらなり,1,0,0,0
41,2022-09-11T13:14:11.000Z,RT @_kurikin: 体験記を書きました。\nWantedlyで最高のサマーインターンをしてきた｜くりきん #note \nhttps://t.co/ZtZ6TkTNF2,0,4,0,0
42,2022-09-11T13:11:45.000Z,技術書展楽しかった‼︎\n(function(){\n    積読\n})(); https://t.co/GEODAEISaU,2,0,0,0
43,2022-09-10T17:38:00.000Z,VScodeで相対行数表示するにはコマンドパレットからユーザ設定のsettings.json開いて\n"editor.lineNumbers": "relative" \nを追加すれば良いのか,0,0,0,0
44,2022-09-04T07:27:38.000Z,にゃーん,1,0,0,0
45,2022-08-30T04:58:39.000Z,UPPER_SNAKE_CASEを忘れてた\nBOILED_EGG\n割とかっこいい気がしてきた,1,0,0,0
46,2022-08-30T04:56:15.000Z,個人的にかっこいいと思う順番\nboiledEgg &gt;&gt; boiled_egg &gt;&gt; BoiledEgg\nlowerCamelCaseかっこいいと思うから好きなんだけど、無意識にsnake_case使ってることがあるから、自分の体はsnake_caseが楽みたいだ。,2,0,1,0
47,2022-08-30T01:35:50.000Z,RT @Nanaio627: 炎上覚悟で言います。\n\nきのこよりたけのこの方が圧倒的に売れます。スーパーの店員です。,0,23769,0,0
48,2022-08-25T07:07:01.000Z,同じエラーを何度も繰り返すと語気を強めて怒ってくれたりしないかな。もしくは慰めてくれるとか。会話してる相手の返事が単調だと悲しくなる。,0,0,0,0
49,2022-08-23T02:23:09.000Z,@drugeroi 常盤祭では別のものを出します！\nそして、ボタンミスってリツイートしましたが気にしないでくだせえ🙇‍♂️,1,0,0,0
50,2022-08-23T02:21:52.000Z,RT @drugeroi: @yudetamageta はや！！！おつかれっす,0,1,0,0
51,2022-08-23T00:06:32.000Z,LT会のスライドが完成したぜよ。,2,0,1,0
52,2022-08-22T12:16:29.000Z,気になるの！！！！,2,0,0,0
53,2022-08-17T16:29:49.000Z,VueとNuxtの公式が💚と✨をツイートしてた。謎\n何かいいことでもあったんだろうか,2,0,0,0
